,date,co2,co,pm,uv,temperature,humidity
2022-01-16 16:03:26,2022-01-16 16:03:26,1034.3744883333331,8.001410000000002,0.029438333333333334,3.8400425423728812,32.86440677966102,57.33898305084746
2022-01-16 16:08:45,2022-01-16 16:08:45,1034.3744883333331,8.001410000000002,0.029438333333333334,3.8359045762711865,32.855932203389834,57.360169491525426
2022-01-16 16:14:04,2022-01-16 16:14:04,1034.3744883333334,8.022858333333334,0.030418333333333335,3.8317666101694914,32.847457627118644,57.38135593220339
2022-01-16 16:19:23,2022-01-16 16:19:23,1034.3744883333334,8.022858333333334,0.030418333333333335,3.8276286440677967,32.83898305084746,57.402542372881356
2022-01-16 16:24:42,2022-01-16 16:24:42,1034.3744883333331,8.022858333333334,0.030418333333333335,3.8234906779661015,32.83050847457627,57.42372881355932
2022-01-16 16:30:01,2022-01-16 16:30:01,1095.1680166666667,8.230076666666667,0.02748,3.819352711864407,32.82203389830509,57.44491525423729
2022-01-16 16:35:20,2022-01-16 16:35:20,1095.1680166666667,8.230076666666667,0.02748,3.8152147457627117,32.813559322033896,57.46610169491525
2022-01-16 16:40:39,2022-01-16 16:40:39,1095.1680166666667,8.230076666666667,0.02748,3.811076779661017,32.80508474576271,57.48728813559322
2022-01-16 16:45:58,2022-01-16 16:45:58,1037.4855016666668,8.032286666666668,0.030138333333333333,3.806938813559322,32.79661016949152,57.50847457627118
2022-01-16 16:51:17,2022-01-16 16:51:17,1095.1680166666667,8.262333333333334,0.030418333333333335,3.802800847457627,32.78813559322034,57.529661016949156
2022-01-16 16:56:36,2022-01-16 16:56:36,1095.1680166666667,8.262333333333334,0.030418333333333335,3.798662881355932,32.779661016949156,57.55084745762712
2022-01-16 17:01:55,2022-01-16 17:01:55,1037.4855016666668,8.032286666666668,0.030138333333333333,3.7945249152542373,32.771186440677965,57.57203389830509
2022-01-16 17:07:14,2022-01-16 17:07:14,1037.4855016666668,8.032286666666668,0.030138333333333333,3.790386949152542,32.76271186440678,57.59322033898305
2022-01-16 17:12:33,2022-01-16 17:12:33,1037.4855016666668,8.032286666666668,0.030138333333333333,3.7862489830508474,32.75423728813559,57.61440677966102
2022-01-16 17:17:52,2022-01-16 17:17:52,1037.4855016666668,8.043095000000001,0.03209666666666667,3.7821110169491527,32.74576271186441,57.63559322033898
2022-01-16 17:23:11,2022-01-16 17:23:11,1037.4855016666668,8.043095000000001,0.03209666666666667,3.7779730508474576,32.73728813559322,57.65677966101695
2022-01-16 17:28:30,2022-01-16 17:28:30,1033.1584016666666,8.010496666666667,0.031536666666666664,3.773835084745763,32.728813559322035,57.67796610169491
2022-01-16 17:33:49,2022-01-16 17:33:49,1023.6328516666666,7.934426666666668,0.03097666666666667,3.7696971186440678,32.720338983050844,57.69915254237288
2022-01-16 17:39:08,2022-01-16 17:39:08,1014.8538183333334,7.94381,0.03139666666666666,3.765559152542373,32.71186440677966,57.720338983050844
2022-01-16 17:44:27,2022-01-16 17:44:27,1014.8538183333334,7.94381,0.03139666666666666,3.761421186440678,32.70338983050848,57.74152542372882
2022-01-16 17:49:46,2022-01-16 17:49:46,1014.8538183333334,7.94381,0.03139666666666666,3.757283220338983,32.69491525423729,57.76271186440678
2022-01-16 17:55:05,2022-01-16 17:55:05,1014.8538183333334,7.94381,0.03139666666666667,3.753145254237288,32.686440677966104,57.78389830508475
2022-01-16 18:00:24,2022-01-16 18:00:24,1014.8538183333334,7.94381,0.03139666666666666,3.7490072881355934,32.67796610169491,57.80508474576271
2022-01-16 18:05:43,2022-01-16 18:05:43,1014.8538183333334,7.94381,0.03139666666666666,3.744869322033898,32.66949152542373,57.82627118644068
2022-01-16 18:11:02,2022-01-16 18:11:02,1014.8538183333334,7.94381,0.03139666666666666,3.7407313559322035,32.66101694915254,57.847457627118644
2022-01-16 18:16:21,2022-01-16 18:16:21,1014.8538183333334,7.94381,0.03139666666666666,3.7365933898305084,32.652542372881356,57.86864406779661
2022-01-16 18:21:40,2022-01-16 18:21:40,1014.8538183333334,7.94381,0.03139666666666666,3.7324554237288137,32.644067796610166,57.889830508474574
2022-01-16 18:26:59,2022-01-16 18:26:59,1014.8538183333334,7.94381,0.03139666666666666,3.7283174576271185,32.63559322033898,57.91101694915254
2022-01-16 18:32:18,2022-01-16 18:32:18,1014.8538183333334,7.94381,0.03139666666666666,3.724179491525424,32.6271186440678,57.932203389830505
